Model,Solver,Test_id,State,Time,Obj
imada-int,ortools,test3,feas,255.145409107,1809
imada-int,ortools,test3,feas,266.369857073,1808
imada-int,ortools,test3,feas,277.59423399,1807
imada-int,ortools,test3,feas,288.918826103,1806
imada-int,ortools,test3,feas,300.444092989,1805
imada-int,ortools,test3,feas,311.868839025,1804
imada-int,ortools,test3,feas,339.829786062,1803
imada-int,ortools,test3,feas,367.389427185,1802
imada-int,ortools,test3,feas,409.881445169,1801
imada-int,ortools,test3,feas,465.301267147,1800
imada-int,ortools,test3,feas,608.010931015,1799
imada-int,ortools,test3,feas,706.122723103,1798
imada-int,ortools,test3,feas,798.62227416,1797
imada-int,chuffed,test1,feas,43.17,1830
imada-int,chuffed,test1,feas,43.66,1829
imada-int,chuffed,test1,feas,44.15,1828
imada-int,chuffed,test1,feas,44.64,1827
imada-int,chuffed,test1,feas,45.13,1826
imada-int,chuffed,test1,feas,45.62,1825
imada-int,chuffed,test1,feas,46.11,1824
imada-int,chuffed,test1,feas,46.6,1823
imada-int,chuffed,test1,feas,47.09,1822
imada-int,chuffed,test1,feas,47.58,1821
imada-int,chuffed,test1,feas,48.07,1820
imada-int,chuffed,test1,feas,48.56,1819
imada-int,chuffed,test1,feas,49.05,1818
imada-int,chuffed,test1,feas,51.14,1817
imada-int,chuffed,test1,feas,51.63,1816
imada-int,chuffed,test1,feas,52.72,1815
imada-int,chuffed,test1,feas,53.21,1814
imada-int,chuffed,test1,feas,53.7,1813
imada-int,chuffed,test1,feas,54.19,1812
imada-int,chuffed,test1,feas,54.68,1811
imada-int,chuffed,test1,feas,55.17,1810
imada-int,chuffed,test1,feas,58.12,1809
imada-int,chuffed,test1,feas,61.04,1808
imada-int,chuffed,test1,feas,63.95,1807
imada-int,chuffed,test1,feas,66.86,1806
imada-int,chuffed,test1,feas,69.77,1805
imada-int,chuffed,test1,feas,72.69,1804
imada-int,chuffed,test1,feas,82.45,1803
imada-int,chuffed,test1,feas,91.97,1802
imada-int,chuffed,test1,feas,108.26,1801
imada-int,chuffed,test1,feas,130.63,1800
imada-int,chuffed,test1,feas,190.04,1799
imada-int,chuffed,test1,feas,230.01,1798
imada-int,chuffed,test1,feas,265.7,1797
imada-int,chuffed,test1,feas,337.57,1796
imada-int,chuffed,test1,feas,407.66,1795
imada-int,chuffed,test1,feas,571.0,1794
imada-int,chuffed,test1,feas,647.26,1793
imada-int,chuffed,test2,feas,43.06,1830
imada-int,chuffed,test2,feas,43.55,1829
imada-int,chuffed,test2,feas,44.04,1828
imada-int,chuffed,test2,feas,44.53,1827
imada-int,chuffed,test2,feas,45.02,1826
imada-int,chuffed,test2,feas,45.51,1825
imada-int,chuffed,test2,feas,46.0,1824
imada-int,chuffed,test2,feas,46.49,1823
imada-int,chuffed,test2,feas,46.98,1822
imada-int,chuffed,test2,feas,47.47,1821
imada-int,chuffed,test2,feas,47.96,1820
imada-int,chuffed,test2,feas,48.45,1819
imada-int,chuffed,test2,feas,48.94,1818
imada-int,chuffed,test2,feas,50.98,1817
imada-int,chuffed,test2,feas,51.47,1816
